구분,학수번호,교과목명,학점,시간,학년,학기,전공역량,필수선수,권장선수,실험실습,세부전공,대학,학과,개설학과,내용,메모,개설횟수
전공선택,HOKA354,한국여성사,3,3,3,2,통합적사고,,,,,문과대학,한국사학과,한국사학과,,,2
전공선택,HOKA358,한국생활사,3,3,3,2,통합적사고,,,,,문과대학,한국사학과,한국사학과,,,1
전공선택,HOKA431,한국사회운동사,3,3,4,1,사회공헌,,,,,문과대학,한국사학과,한국사학과,,,3
전공선택,HOKA440,한국금석문,3,3,4,2,전문가적사고,,,,,문과대학,한국사학과,한국사학과,,,2
전공선택,HOKA441,한국과학사,3,3,4,1,통합적사고,,,,,문과대학,한국사학과,한국사학과,,,0
전공선택,HOKA442,한국민족운동사,3,3,4,2,사회공헌,,,,,문과대학,한국사학과,한국사학과,,,2
전공선택,HOKA443,한국사상사,3,3,4,1,통합적사고,,,,,문과대학,한국사학과,한국사학과,,,1
전공선택,HOKA444,한국고고학,3,3,4,2,자기실현,,,,,문과대학,한국사학과,한국사학과,,,0
전공선택,HOKA445,영상과역사학,3,3,4,1,자기실현,,,,,문과대학,한국사학과,한국사학과,,,0
전공선택,HOKA446,공공역사,3,3,4,2,사회공헌,,,,,문과대학,한국사학과,한국사학과,,,0
전공선택,HOKA468,한국예술사,3,3,4,2,통합적사고,,,,,문과대학,한국사학과,한국사학과,,,2
학문의기초,COLA173,디지털인문학응용,3,3,1,,,,,,,문과대학,한국사학과,문과대학,,,0
전공인정,COLA200,인문융합세미나,3,3,1,,,,,,,문과대학,한국사학과,문과대학,,,0
교양필수,GELI005,학문세계의탐구 I,3,3,1,,,,,,,문과대학,한국사학과,,,,1
교양필수,GEWR002,글쓰기,3,3,1,1,,,,,,문과대학,한국사학과,,,,1
교양필수,IFLS800,Academic English I,2,2,1,,,,,,,문과대학,한국사학과,,,,1
교양필수,GEKS007,[진로창업]1학년세미나 I,1,1,1,1,,,,,,문과대학,한국사학과,,,,1
교양필수,GEKS008,[진로창업]1학년세미나 II,1,1,1,2,,,,,,문과대학,한국사학과,,,,1
교양필수,GECT002,[진로창업]SW프로그래밍의기초,3,3,1,1,,,,,,문과대학,한국사학과,,,,1
교양필수,GECT003,[진로창업]데이터과학과인공지능,3,3,1,2,,,,,,문과대학,한국사학과,,,,0
