구분,학수번호,교과목명,학년,학기,필수선수,권장선수,실험실습,세부전공,학점,시간,전공역량,대학,학과,개설학과,내용,메모,개설횟수
전공선택,IMEN389,공학현장실습Ⅰ,3,1.0,,,,,3,0.0,기타,공과대학,산업경영공학부,,산업경영공학부,,1
전공선택,IMEN407,물류시스템설계,4,1.0,,,,,3,3.0,생산/물류,공과대학,산업경영공학부,,산업경영공학부,,2
전공선택,IMEN415,다변량분석,4,1.0,,,,,3,3.0,품질/통계,공과대학,산업경영공학부,,산업경영공학부,,5
전공선택,IMEN431,예측애널리틱스,4,1.0,,,,,3,3.0,품질/통계,공과대학,산업경영공학부,,산업경영공학부,,3
전공선택,IMEN457,시스템분석,4,1.0,,,,,3,3.0,시스템분석,공과대학,산업경영공학부,,산업경영공학부,,3
전공선택,IMEN461,시사경영과학,4,1.0,,,,,3,3.0,시스템분석,공과대학,산업경영공학부,,산업경영공학부,,2
전공선택,IMEN466,서비스공학,4,2.0,,,,,3,3.0,기타,공과대학,산업경영공학부,,산업경영공학부,,2
전공선택,IMEN468,산업공학을위한딥러닝,4,2.0,,,,,3,3.0,품질/통계,공과대학,산업경영공학부,,산업경영공학부,,3
전공선택,IMEN471,캡스톤디자인Ⅰ,4,1.0,,,,,3,4.0,기타,공과대학,산업경영공학부,,산업경영공학부,,3
전공선택,IMEN472,캡스톤디자인Ⅱ,4,2.0,,,,,3,4.0,기타,공과대학,산업경영공학부,,산업경영공학부,,2
전공선택,IMEN340,지식재산과빅데이터분석,3,,,,,,3,3.0,,공과대학,산업경영공학부,,산업경영공학부,,1
전공인정,EGRN230,국제공학인턴쉽Ⅲ,2,,,,,,9,0.0,,공과대학,산업경영공학부,,공과대학,,0
전공인정,EGRN332,기술과창업,3,,,,,,3,3.0,,공과대학,산업경영공학부,,공과대학,,1
전공인정,EGRN430,공학인턴십Ⅰ,4,,,,,,6,0.0,,공과대학,산업경영공학부,,공과대학,,3
전공인정,EGRN440,공학인턴십Ⅱ,4,,,,,,9,0.0,,공과대학,산업경영공학부,,공과대학,,3
