구분,학수번호,교과목명,학년,학기,필수선수,권장선수,실험실습,세부전공,학점,시간,전공역량,대학,학과,개설학과,내용,메모,개설횟수
교양선택,EAES152,지구환경과학및연습 II,,,,,,,3,3,,이과대학,수학과,지구환경과학과,,,5
교양선택,EAES153,지구환경과학실험 I,,,,,,,1,3,,이과대학,수학과,지구환경과학과,,,5
교양선택,EAES154,지구환경과학실험 II,,,,,,,1,3,,이과대학,수학과,지구환경과학과,,,5
교양선택,LIBS151,일반생물학및연습 I,,,,,,,3,3,,이과대학,수학과,생명과학부,,,5
교양선택,LIBS152,일반생물학및연습 II,,,,,,,3,3,,이과대학,수학과,생명과학부,,,5
교양선택,LIBS153,일반생물학실험 I,,,,,,,1,3,,이과대학,수학과,생명과학부,,,5
교양선택,LIBS154,일반생물학실험 II,,,,,,,1,3,,이과대학,수학과,생명과학부,,,5
학문의기초,MATH166,수학을위한기초컴퓨팅,2.0,2.0,,,,,3,3,미래 변화주도,이과대학,수학과,수학과,,,3
전공필수,MATH211,해석학Ⅰ및연습,2.0,1.0,,,,,3,3,수학적 지식과 사고,이과대학,수학과,수학과,,,5
전공필수,MATH212,해석학Ⅱ및연습,2.0,2.0,,,,,3,3,수학적 지식과 사고,이과대학,수학과,수학과,,,5
전공필수,MATH221,선형대수Ⅰ및연습,2.0,1.0,,,,,3,3,수학적 지식과 사고,이과대학,수학과,수학과,,,5
전공필수,MATH222,선형대수Ⅱ및연습,2.0,2.0,,,,,3,3,수학적 지식과 사고,이과대학,수학과,수학과,,,5
전공필수,MATH315,복소해석학I,3.0,1.0,,,,,3,3,수학적 지식과 사고,이과대학,수학과,수학과,,,5
전공필수,MATH321,대수학Ⅰ,3.0,1.0,,,,,3,3,수학적 지식과 사고,이과대학,수학과,수학과,,,5
전공필수,MATH331,미분기하학Ⅰ,3.0,1.0,,,,,3,3,수학적 지식과 사고,이과대학,수학과,수학과,,,5
전공필수,MATH333,위상수학Ⅰ,3.0,1.0,,,,,3,3,수학적 지식과 사고,이과대학,수학과,수학과,,,5
전공선택,MATH201,집합론,2.0,1.0,,,,,3,3,논리 및 추론,이과대학,수학과,수학과,,,4
전공선택,MATH203,이산수학,2.0,1.0,,,,,3,3,수학적 지식과 사고,이과대학,수학과,수학과,,,5
전공선택,MATH223,정수론,2.0,1.0,,,,,3,3,수학적 지식과 사고,이과대학,수학과,수학과,,,4
전공선택,MATH232,기하학개론,2.0,2.0,,,,,3,3,수학적 지식과 사고,이과대학,수학과,수학과,,,5
전공선택,MATH240,미분방정식및연습,2.0,2.0,,,,,3,3,창의적 문제해결,이과대학,수학과,수학과,,,5
전공선택,MATH282,미분방정식론,2.0,2.0,,,,,3,3,수학적 지식과 사고,이과대학,수학과,수학과,,,2
전공선택,MATH292,인공지능의수학적기초,2.0,2.0,,,,,3,3,미래 변화주도,이과대학,수학과,수학과,,,4
전공선택,MATH342,수치해석및연습,3.0,2.0,,,,,3,3,논리 및 추론,이과대학,수학과,수학과,,,3
전공선택,MATH343,확률과통계및연습,3.0,1.0,,,,,3,3,수학적 지식과 사고,이과대학,수학과,수학과,,,5
전공선택,MATH344,확률과정개론,3.0,2.0,,,,,3,3,수학적 지식과 사고,이과대학,수학과,수학과,,,4
전공선택,MATH358,복소해석학II,3.0,2.0,,,,,3,3,수학적 지식과 사고,이과대학,수학과,수학과,,,5
전공선택,MATH362,대수학Ⅱ,3.0,2.0,,,,,3,3,수학적 지식과 사고,이과대학,수학과,수학과,,,5
