구분,학수번호,교과목명,학점,시간,학년,학기,전공역량,필수선수,권장선수,실험실습,세부전공,대학,학과,개설학과,내용,메모,개설횟수
전공선택,HANM364,한국한문학비평의탐구,3,3,3,2,고전인문학의소양,,,,,문과대학,한문학과,한문학과,,,2
전공선택,HANM365,한문산문의세계,3,3,2,1,한자·한문의독해,,,,,문과대학,한문학과,한문학과,,,3
전공선택,HANM368,고문서와금석문,3,3,3,2,실용적·융합적사고와기술,,,,,문과대학,한문학과,한문학과,,,2
전공선택,HANM369,한문학과자연과학,3,3,3,1,실용적·융합적사고와기술,,,,,문과대학,한문학과,한문학과,,,3
전공선택,HANM371,한문학데이터큐레이션,3,3,3,1,실용적·융합적사고와기술,,,,,문과대학,한문학과,한문학과,,,3
전공선택,HANM454,한문학연구와논문작성,3,3,4,2,실용적·융합적사고와기술,,,,,문과대학,한문학과,한문학과,,,5
전공선택,HANM457,한문고전의정리와번역,3,3,4,1,고전인문학의소양,,,,,문과대학,한문학과,한문학과,,,3
전공선택,HANM461,한국한문학작가론,3,3,4,1,고전인문학의소양,,,,,문과대학,한문학과,한문학과,,,3
전공선택,HANM464,한국한문학과동아시아문학,3,3,4,1,동아시아와세계에대한식견,,,,,문과대학,한문학과,한문학과,,,3
전공선택,HANM466,고전해석학,3,3,4,2,고전인문학의소양,,,,,문과대학,한문학과,한문학과,,,2
전공선택,HANM470,영어로읽는논어와노자,3,3,4,2,외국어구사,,,,,문과대학,한문학과,한문학과,,,1
전공선택,HANM477,불교적사유와문화,3,3,4,1,인간과사회의이해,,,,,문과대학,한문학과,한문학과,,,2
전공선택,HANM480,한문문법과문체,3,3,3,2,한자·한문의독해,,,,,문과대학,한문학과,한문학과,,,1
전공선택,HANM481,오경읽기,3,3,4,1,한자·한문의독해,,,,,문과대학,한문학과,한문학과,,,2
전공선택,HANM483,한문교과논리및논술,3,3,4,1,실용적·융합적사고와기술,,,,,문과대학,한문학과,한문학과,,,4
전공선택,HANM490,한문학인턴십,3,0,4,2,실용적·융합적사고와기술,,,1,,문과대학,한문학과,한문학과,,,0
전공선택,HANM491,한문학과문화콘텐츠,3,3,4,1,실용적·융합적사고와기술,,,,,문과대학,한문학과,한문학과,,,1
학문의기초,COLA173,디지털인문학응용,3,3,1,,,,,,,문과대학,한문학과,문과대학,,,0
전공인정,COLA200,인문융합세미나,3,3,1,,,,,,,문과대학,한문학과,문과대학,,,0
교양필수,GELI005,학문세계의탐구 I,3,3,1,,,,,,,문과대학,한문학과,,,,1
교양필수,GEWR002,글쓰기,3,3,1,1,,,,,,문과대학,한문학과,,,,1
교양필수,IFLS800,Academic English I,2,2,1,,,,,,,문과대학,한문학과,,,,1
교양필수,GEKS007,[진로창업]1학년세미나 I,1,1,1,1,,,,,,문과대학,한문학과,,,,1
교양필수,GEKS008,[진로창업]1학년세미나 II,1,1,1,2,,,,,,문과대학,한문학과,,,,1
교양필수,GECT002,[진로창업]SW프로그래밍의기초,3,3,1,1,,,,,,문과대학,한문학과,,,,1
