구분,학수번호,교과목명,학년,학기,전공역량,필수선수,권장선수,실험실습,세부전공,학점,시간,대학,학과,개설학과,내용,메모,개설횟수
전공선택,BUSS416,기업가치평가,4,1,융합적사고, |BUSS152,,,,3,3,경영대학,경영학과,경영학과,,,5
전공선택,BUSS417,고급투자론,4,1,융합적사고,BUSS207|BUSS254|BUSS207|BUSS254,BUSS203|BUSS203,,,3,3,경영대학,경영학과,경영학과,,,1
전공선택,BUSS418,기업의인수합병과구조조정,4,1,융합적사고,,,,,3,3,경영대학,경영학과,경영학과,,,1
전공선택,BUSS420,리더쉽:이론과실제,4,1,도전적리더,BUSS311,,,,3,3,경영대학,경영학과,경영학과,,,2
전공선택,BUSS425,소셜네트워크와경쟁우위,4,2,융합적사고,BUSS311,,,,3,3,경영대학,경영학과,경영학과,,,4
전공선택,BUSS431,회계감사,4,1,융합적사고,BUSS152,,,,3,3,경영대학,경영학과,경영학과,,,5
전공선택,BUSS435,경영의철학적이해,4,1,융합적사고,,,,,3,3,경영대학,경영학과,경영학과,,,5
전공선택,BUSS438,금융기관경영론,4,2,창의적문제해결,BUSS207,,,,3,3,경영대학,경영학과,경영학과,,,5
전공선택,BUSS439,마케팅신조류,4,1,창의적문제해결,BUSS205,,,,3,3,경영대학,경영학과,경영학과,,,1
전공선택,BUSS442,품질경영,4,1,창의적문제해결,,,,,3,3,경영대학,경영학과,경영학과,,,1
전공선택,BUSS447,로지스틱스관리,4,1,융합적사고,,BUSS203,,,3,3,경영대학,경영학과,경영학과,,,5
전공선택,BUSS448,오퍼레이션스전략,4,1,융합적사고,,,,,3,3,경영대학,경영학과,경영학과,,,5
전공선택,BUSS453,데이터관리와지적경영,4,1,창의적문제해결,,,,,3,3,경영대학,경영학과,경영학과,,,4
전공선택,BUSS454,제품및브랜드관리,4,2,공감소통,BUSS205,,,,3,3,경영대학,경영학과,경영학과,,,5
전공선택,BUSS456,금융회계,4,2,융합적사고,BUSS152,,,,3,3,경영대학,경영학과,경영학과,,,1
전공선택,BUSS467,국내경영현장실습I,4,2,융합적사고,,,1,,3,0,경영대학,경영학과,경영학과,,,5
전공선택,BUSS468,국내경영현장실습II,4,2,융합적사고,,,1,,3,0,경영대학,경영학과,경영학과,,,4
전공선택,BUSS469,국내경영현장실습Ⅲ,4,2,융합적사고,,,1,,6,0,경영대학,경영학과,경영학과,,,3
전공선택,BUSS470,국제경영현장실습I,4,2,글로벌,,,1,,3,0,경영대학,경영학과,경영학과,,,2
전공선택,BUSS471,국제경영현장실습II,4,2,글로벌,,,1,,3,0,경영대학,경영학과,경영학과,,,1
전공선택,BUSS472,국제경영현장실습Ⅲ,4,2,글로벌,,,1,,6,0,경영대학,경영학과,경영학과,,,0
전공선택,BUSS475,인터넷마케팅,4,1,융합적사고,BUSS205,,,,3,3,경영대학,경영학과,경영학과,,,3
전공선택,BUSS484,글로벌CEO특강,4,1,도전적리더,,,,,3,3,경영대학,경영학과,경영학과,,,4
전공선택,BUSS488,"구매,공급관리",4,2,융합적사고,,,,,3,3,경영대학,경영학과,경영학과,,,3
전공선택,BUSS490,국내경영현장실습Ⅵ,4,2,융합적사고,,,1,,6,0,경영대학,경영학과,경영학과,,,3
전공선택,BUSS491,국내경영현장실습Ⅳ,4,1,융합적사고,,,1,,3,0,경영대학,경영학과,경영학과,,,3
전공선택,BUSS492,국내경영현장실습Ⅴ,4,1,융합적사고,,,1,,3,0,경영대학,경영학과,경영학과,,,3
